,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
0,78766,72734,118079,118080,117878,117879,118177,19721,117880
1,40644,4378,117961,118327,118507,118863,122008,118398,118865
2,75443,2395,117961,118300,119488,118172,301534,249618,118175
3,43219,19986,117961,118225,118403,120773,136187,118960,120774
4,42093,50015,117961,118343,119598,118422,300136,118424,118425
5,44722,1755,117961,117962,119223,125793,146749,118643,125795
6,75834,21135,117961,118343,123494,118054,118054,117887,118055
7,4675,3077,117961,118300,120312,124194,124195,118363,124196
8,18072,15575,117902,118041,118623,280788,280788,292795,119082
9,22680,4474,117961,118446,119064,118321,118448,290919,118322
10,23150,25293,117961,118386,128823,118321,117906,290919,118322
11,80179,6222,117961,118052,118746,117905,117906,290919,117908
12,25993,52925,117980,117981,117920,118568,156279,19721,118570
13,14570,108550,117929,117930,117912,118568,281735,19721,118570
14,80452,1600,117961,118327,118507,118890,311441,118398,118892
15,34026,19839,117961,118300,120722,118685,120316,308574,118687
16,78106,53747,117916,118150,117884,118568,146968,19721,118570
17,34924,2017,117961,118327,121645,118321,117906,290919,118322
18,41297,3883,117961,118343,119987,118536,132799,308574,118539
19,73756,39942,117961,118225,124380,307024,140976,118331,118332
20,4675,771,117961,118300,120722,118321,117906,290919,118322
21,5349,7370,117961,118413,118481,127782,230830,290919,127783
22,80127,2765,118290,118291,118301,120344,267006,118424,120346
23,15798,5464,117916,119623,118403,118321,117906,290919,118322
24,28315,48938,118169,118170,118042,118043,285669,270488,118046
25,20351,2034,117961,118052,118328,299559,259703,118205,163732
26,8708,121729,118358,118359,29113,118054,117886,117887,118055
27,41649,49323,118990,118991,118992,118321,117906,290919,118322
28,5173,3970,117961,118300,118458,118054,118054,117887,118055
29,34299,9659,118742,118743,117920,117885,117886,117887,117888
30,29634,7648,117961,118300,119195,117905,117906,290919,117908
31,3069,3119,117961,118300,120312,119849,310589,118638,119851
32,27356,22800,117961,118343,118171,118636,185784,118638,118639
33,34277,3104,117961,118343,123476,118054,118054,117887,118055
34,80903,2819,117961,118300,120410,117905,117906,290919,117908
35,27178,46503,120140,120141,121589,120952,120953,118453,120954
36,13878,51311,117961,118343,121747,119928,310608,118331,119929
37,4675,17831,117902,117903,28618,128230,302830,4673,128231
38,77049,63815,117922,117923,117941,117879,117886,19721,117880
39,20293,21951,118006,118007,117941,117885,117886,117887,117888
40,20226,15615,118752,118753,119121,280788,280788,292795,119082
41,32270,15887,117961,118052,120356,126516,126517,118612,126518
42,79092,10472,117876,117877,117878,117879,117879,19721,117880
43,19722,4620,117961,118300,119181,117905,180083,290919,117908
44,80899,8085,117961,118300,118535,118321,147045,290919,118322
45,34005,770,117961,118300,119181,128230,302830,4673,128231
46,19980,5730,117961,118446,120026,120578,137493,118762,120580
47,79228,10704,117932,117933,117878,117879,117879,19721,117880
48,4675,7393,117902,117903,134257,117905,118036,290919,117908
49,75943,3100,216705,119256,118599,118054,167069,117887,118055
50,75078,7284,91261,118026,118202,117905,117906,290919,117908
51,16631,16541,117961,118225,120551,117905,117906,290919,117908
52,16218,5456,117961,118225,118403,117905,117906,290919,117908
53,39883,24926,91261,118026,118229,273308,120072,249618,118232
54,14955,43514,117961,118446,127812,118801,147130,19793,118803
55,43876,83560,118079,118080,117878,117879,304519,19721,117880
56,7543,4620,117961,118300,119181,117905,240983,290919,117908
57,23921,4914,117961,118300,120026,118834,127160,118424,118836
58,74001,50308,118090,118091,117884,117885,117913,117887,117888
59,16443,52194,117961,118052,126137,118924,148208,118667,118926
60,39333,7411,117961,118386,118746,118747,152307,118453,118749
61,4675,20818,119062,119063,124211,118321,117906,290919,118322
62,28566,28021,118212,118580,117895,117879,117897,19721,117880
63,33151,21009,117961,118343,149210,120097,174445,270488,120099
64,4675,33112,118212,118213,120551,118321,240983,290919,118322
65,27082,4663,117961,118225,120323,132096,132097,119095,132098
66,16018,33266,216705,119256,129526,119849,160290,118638,119851
67,77295,1978,117961,118327,120559,122269,141096,118643,122271
68,34924,6999,117961,118343,121747,118321,117906,290919,118322
69,20299,58476,117929,117930,117920,117879,310732,19721,117880
70,27295,4933,117961,118300,118458,307024,301218,118331,118332
71,45519,13845,117961,117962,118791,118792,211906,118424,118794
72,42481,101834,119134,119135,118042,118207,200069,270488,118209
73,74995,2541,117961,118343,118856,117905,117906,290919,117908
74,14937,5739,117961,118446,118684,118924,140784,118667,118926
75,40338,1411,117902,117903,118437,123670,305057,121916,123672
76,79121,16972,117961,118300,119987,118523,310608,118331,118525
77,22471,15412,117961,118343,127705,119849,127706,118638,119851
78,78422,15894,117961,118052,120304,120313,206347,118424,120315
79,75078,5496,91261,118026,118202,118321,117906,290919,118322
80,3130,122272,117961,118225,122273,122274,244154,3130,122275
81,40997,4199,117961,118225,118403,118321,117906,290919,118322
82,1020,3685,120140,120141,119968,124886,306399,118643,124888
83,32270,15785,117961,118343,118395,118890,125128,118398,118892
84,74909,8150,117961,118386,119954,118318,168365,118205,118319
85,43876,50213,118079,118080,117878,117879,117913,19721,117880
86,33146,13767,117961,117969,118970,118396,160046,118398,118399
87,42015,771,117961,118300,120722,118784,213944,290919,118786
88,42093,4139,117961,118300,123055,120344,188011,118424,120346
89,5342,16643,119134,119135,118701,119587,284481,118704,119589
90,74310,6957,117961,118300,125821,119849,310589,118638,119851
91,278393,15389,117961,118225,122870,119928,129017,118331,119929
92,79704,1030,117961,118343,120722,124435,127527,118363,124436
93,28149,8715,117961,118052,119986,118321,117906,290919,118322
94,79092,3000,117961,118225,120551,118321,240983,290919,118322
95,19399,58493,117918,117919,117941,118568,131694,19721,118570
96,34924,240,117961,118386,118404,118321,117906,290919,118322
97,75078,22873,117951,117952,118221,117885,117886,117887,117888
98,16175,16850,117961,118225,119238,122849,149223,119095,122850
99,28149,28275,118315,118463,123089,118321,125206,290919,118322
100,19945,795,117961,118225,120551,118784,117906,290919,118786
101,20897,15956,117961,117969,121617,131849,148158,121620,131851
102,18229,174,117961,118413,121639,118321,117906,290919,118322
103,15716,51766,117902,118041,118556,280788,280788,292795,119082
104,5372,17244,117961,118052,120398,118784,127126,290919,118786
105,79092,13867,117961,118446,120317,120690,120690,290919,120692
106,40466,14815,117961,118327,118320,123045,123107,120518,123047
107,15868,1568,117961,118300,120410,118321,117906,290919,118322
108,25328,1553,117961,118225,123173,118054,120716,117887,118055
109,16191,59029,117887,118178,118320,118321,117906,290919,118322
110,39262,71192,117961,118386,118522,118321,117906,290919,118322
111,23990,1652,117961,118327,118507,179731,169009,117887,117973
112,40997,4549,117961,118225,120050,118321,117906,290919,118322
113,74966,2014,117961,117962,117904,118777,237279,308574,118779
114,25788,54303,117961,118327,118492,118451,125738,118453,118454
115,954,815,117961,118300,123719,117905,117906,290919,117908
116,14924,15779,117961,118300,118535,117905,117906,290919,117908
117,27714,1080,117961,118052,118378,118451,151171,118453,118454
118,3853,7014,117961,118446,119961,118259,125206,290919,118261
119,74754,17451,117961,118052,126137,118054,118054,117887,118055
120,5173,49646,119691,119692,118635,120903,118406,119695,120904
121,75901,2582,117961,118343,121710,307024,133833,118331,118332
122,23096,15795,119062,119091,118042,118043,118044,270488,118046
123,27122,51226,117961,118327,118320,124886,164752,118643,124888
124,39883,15887,117961,118052,120356,120357,310997,118424,120359
125,27623,7011,117961,118327,120685,118321,118448,290919,118322
126,18072,43588,117961,119256,119257,118995,122492,292795,118997
127,3264,69337,120140,120141,118492,118274,220988,292795,118276
128,33642,50538,118953,118954,117920,118568,131694,19721,118570
129,23961,30520,117902,117903,117945,128422,130134,118453,128424
130,25270,4057,117961,118343,119598,119433,133686,118424,119435
131,41334,28245,118315,118463,123089,117905,130219,290919,117908
132,1937,8686,117961,118327,119830,118321,117906,290919,118322
133,45828,2078,118114,118115,117920,118568,125937,19721,118570
134,40426,2610,117961,118327,121979,118841,128747,118643,118843
135,15933,5767,117961,118343,118344,118321,117906,290919,118322
136,20487,2991,117961,118343,118700,117905,117906,290919,117908
137,73214,4961,117961,118343,118833,307024,294485,118331,118332
138,43312,58705,117910,118855,117941,118568,281735,19721,118570
139,29621,3077,117961,118300,120312,124194,124195,118363,124196
140,4675,7551,117961,118052,118867,118321,117906,290919,118322
141,38469,105262,118953,118954,118246,179731,291378,117887,117973
142,79325,7445,117961,118343,122299,179731,118054,117887,117973
143,20364,15764,91261,118026,119362,119065,158390,118667,119067
144,27323,7076,117961,118225,119238,119093,139668,119095,119096
145,302049,2590,118169,118170,118556,117946,125711,292795,117948
146,18072,18080,117961,119256,119257,117946,118806,292795,117948
147,39327,15504,117961,118386,123656,118321,240983,290919,118322
